ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.76788048,38.12255754,0,713,3,1,8,1,zg,2018-12-28 12:07:34.267+00,2458481.0052546,30.0,20181228505243,3.13042,1.008,20.0594,165.7678341538,38.12252168503
165.77301272,38.1189262,67108864,713,3,1,8,1,zg,2019-01-03 12:38:45.372+00,2458487.0269097,30.0,20190103526887,3.09132,1.014,20.8003,165.7729780854,38.1188895814
165.77314363,38.11903046,0,713,3,1,8,1,zg,2019-01-03 12:40:05.93+00,2458487.0278356,30.0,20190103527824,2.36784,1.014,21.0945,165.7731087976,38.11899860864
165.77649504,38.12245278,0,713,3,1,8,1,zg,2019-01-04 11:06:41.52+00,2458487.9629745,30.0,20190104462650,1.98263,1.023,21.3642,165.7764476746,38.12241514733
165.77238757,38.11118614,0,713,3,1,8,1,zg,2019-01-08 10:50:35.155+00,2458491.951794,30.0,20190108451701,2.1423,1.025,20.5431,165.7723567742,38.11114544905
165.77386845,38.11110234,0,713,3,1,8,1,zg,2019-01-08 10:51:58.63+00,2458491.9527546,30.0,20190108452708,1.95365,1.024,20.6754,165.7738289099,38.11105898536
165.77329454,38.13287425,67108864,713,3,1,8,1,zg,2019-01-09 12:19:52.577+00,2458493.0137963,30.0,20190109513773,2.65696,1.018,20.9784,165.7732684289,38.13283832013
165.77384709,38.1188474,0,713,3,1,8,1,zg,2019-01-10 12:39:21.357+00,2458494.0273264,30.0,20190110527303,2.00366,1.034,21.4394,165.773811242,38.11881450716
165.77754536,38.1171523,0,713,3,1,8,1,zg,2019-01-11 12:27:39.37+00,2458495.0192014,30.0,20190111519132,1.97994,1.028,21.4336,165.7775044355,38.11712352646
165.77755223,38.11699442,0,713,3,1,8,1,zg,2019-01-11 12:29:02.632+00,2458495.020162,30.0,20190111520127,2.1474,1.029,21.3483,165.7775061045,38.11695734847
165.78113827,38.1189102,0,713,3,1,8,1,zg,2019-01-19 11:29:32.196+00,2458502.9788426,30.0,20190119478785,2.7989,1.013,19.6462,165.7811126714,38.11887717976
165.77387037,38.10608393,0,713,3,1,8,1,zg,2019-01-20 13:08:07.391+00,2458504.0473032,30.0,20190120547292,2.93143,1.125,18.7865,165.7738397339,38.10605328953
165.77303333,38.11996051,0,713,3,1,8,1,zg,2019-01-22 11:28:50.599+00,2458505.9783565,30.0,20190122478356,3.79507,1.018,19.034,165.7730141255,38.11993238486
165.77331709,38.11990512,0,713,3,1,8,1,zg,2019-01-22 11:30:09.361+00,2458505.9792708,30.0,20190122479259,3.23463,1.019,19.1895,165.7732855286,38.11987346771
165.77145663,38.12053974,0,713,3,1,8,1,zg,2019-01-23 11:25:42.042+00,2458506.9761806,30.0,20190123476146,4.35666,1.019,19.0238,165.7714401826,38.12050287854
165.77671,38.11754413,0,713,3,1,8,1,zg,2019-01-24 11:20:58.483+00,2458507.9728935,30.0,20190124472870,3.10756,1.018,19.6157,165.7766804573,38.11750587551
165.77524054,38.11658784,0,713,3,1,8,1,zg,2019-01-25 12:45:35.41+00,2458509.0316551,30.0,20190125531632,3.42357,1.12,19.7072,165.7752044105,38.11656094214
165.77549446,38.11629048,0,713,3,1,8,1,zg,2019-01-25 12:46:55.878+00,2458509.032581,30.0,20190125532569,3.91702,1.122,19.5186,165.7754596184,38.11625611908
