#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
1SDSSJ003643.34+252754.9|DA/M: |53349|2058|346|12681| 1171|8.55|0.29| 0.95|0.16| 387|  83| 9| 267|  10|         |3
0SDSSJ003643.34+252754.9|DA/M: |53349|2058|346|16717| 1131|8.11|0.25| 0.68|0.16| 699| 118| 9| 267|  10|         |
1SDSSJ003645.26+063453.1|DC/M  |53710|2327| 93|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 5| 327| 167|         |3
1SDSSJ003731.07+010947.0|DA/M  |52261| 690|410| 9619| 1221|8.86|1.41| 1.12|0.74| 309| 216| 4| 744| 219|s/e      |
0SDSSJ003731.07+010947.0|DA/M  |52261| 690|410|25012| 6899|7.75|1.40| 0.51|0.77|1971|1365| 4| 744| 219|s/e      |
1SDSSJ003856.80+010650.8|WD/M  |52882|1123|570|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 238|  70|         |
0SDSSJ003856.80+010650.8|WD/M  |52882|1123|570|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 238|  70|         |
1SDSSJ003902.47-003000.4|DA/M  |52261| 690|143|12392|  737|7.39|0.22| 0.33|0.08| 403|  57|-1|   0|   0|         |
0SDSSJ003902.47-003000.4|DA/M  |52261| 690|143|12250|  822|7.47|0.24| 0.35|0.10| 380|  56|-1|   0|   0|         |
1SDSSJ003904.35-004206.9|WD/M  |52261| 690|132|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1| 875| 171|         |
0SDSSJ003904.35-004206.9|WD/M  |52261| 690|132|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 1| 875| 171|         |
1SDSSJ003925.22+254823.7|DA/M  |53327|2038|380|35740|  482|7.81|0.08| 0.57|0.04| 415|  25| 4| 608| 179|h        |3
0SDSSJ003925.22+254823.7|DA/M  |53327|2038|380| 8475|   14|9.50|0.03| 1.46|0.01|  13|   1| 4| 608| 179|h        |
1SDSSJ003932.49+061856.9|DA/M: |53710|2327|  2|19193| 1782|7.95|0.38| 0.59|0.24| 777| 188|-1|   0|   0|         |3
0SDSSJ003932.49+061856.9|DA/M: |53710|2327|  2|10918|  665|8.85|0.50| 1.12|0.26| 222| 101|-1|   0|   0|         |
1SDSSJ004020.07+154156.3|DA/M  |51817| 418|575|28718|15311|8.29|1.54| 0.82|0.80|2059|1938| 3|1013| 199|         |
0SDSSJ004020.07+154156.3|DA/M  |51817| 418|575|10427|17485|9.50|1.71| 1.46|0.85| 177| 339| 3|1013| 199|         |
1SDSSJ004020.07+154156.3|WD/M  |51884| 418|577|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 740| 218|         |
0SDSSJ004020.07+154156.3|WD/M  |51884| 418|577|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 4| 740| 218|         |
1SDSSJ004138.68+151104.9|DA/M  |51879| 419|399|34131| 2282|7.56|0.43| 0.47|0.19|1807| 499| 1|1968| 385|s/e/h    |
0SDSSJ004138.68+151104.9|DA/M  |51879| 419|399| 8573|  405|9.22|0.37| 1.31|0.17|  99|  53| 1|1968| 385|s/e/h    |
1SDSSJ004138.68+151104.9|DA/M  |51812| 419|399|34131| 3103|7.62|0.59| 0.49|0.29|1761| 628| 1|2229| 437|s/e/h    |
0SDSSJ004138.68+151104.9|DA/M  |51812| 419|399| 8773|  491|9.50|0.36| 1.46|0.16|  62|  55| 1|2229| 437|s/e/h    |
1SDSSJ004138.68+151104.9|DA/M  |51868| 419|399|32222| 2209|7.72|0.56| 0.52|0.30|1578| 540| 0|2530| 341|s/e/h    |
0SDSSJ004138.68+151104.9|DA/M  |51868| 419|399| 8773|  461|9.23|0.37| 1.32|0.18| 103|  55| 0|2530| 341|s/e/h    |
1SDSSJ004228.83-005210.4|WD/M  |53706|1905|215|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|re       |
0SDSSJ004228.83-005210.4|WD/M  |53706|1905|215|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ004228.83-005210.4|WD/M  |53613|1905|209|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 414|  99|         |
0SDSSJ004228.83-005210.4|WD/M  |53613|1905|209|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2| 414|  99|         |
1SDSSJ004232.86+005628.9|DA:/M |52199| 691|340|11302| 4738|6.49|1.92| 0.11|0.75|2739|1942| 3|1338| 263|         |
0SDSSJ004232.86+005628.9|DA:/M |52199| 691|340|10918| 4795|6.56|1.93| 0.13|0.79|2631|1882| 3|1338| 263|         |
1SDSSJ004243.61-003427.1|(WD/M)|53706|1905|189|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|re       |
1SDSSJ004319.25+160219.9|DA/M  |53242|1896|410|15782|  314|7.88|0.07| 0.55|0.04| 239|  10| 2| 372|  89|s/a      |
0SDSSJ004319.25+160219.9|DA/M  |53242|1896|410|13127| 2299|8.10|0.38| 0.67|0.24| 168|  41| 2| 372|  89|s/a      |
1SDSSJ004445.20+253548.7|DA/M: |53349|2058|546|15782|  256|7.47|0.07| 0.37|0.02| 440|  21|-1|   0|   0|         |3
0SDSSJ004445.20+253548.7|DA/M: |53349|2058|546|10918|  134|7.99|0.09| 0.60|0.07| 211|  10|-1|   0|   0|         |
1SDSSJ004511.95+250330.9|DA/M: |53349|2058|558|14228|  668|8.87|0.11| 1.13|0.05| 189|  19|-1|   0|   0|         |3
0SDSSJ004511.95+250330.9|DA/M: |53349|2058|558|15422| 1491|8.81|0.24| 1.10|0.12| 212|  45|-1|   0|   0|         |
1SDSSJ004604.14+011037.4|DA/M  |51794| 393|563|16149| 6635|9.07|0.83| 1.24|0.43| 365| 347| 1|1334| 261|s/h      |
0SDSSJ004604.14+011037.4|DA/M  |51794| 393|563|16149| 6636|9.05|0.83| 1.23|0.43| 373| 347| 1|1334| 261|s/h      |
1SDSSJ004740.75-000019.5|DA/M  |53706|1905| 71|10793| 1835|8.69|1.00| 1.03|0.53| 427| 340| 3|1031| 203|s        |
0SDSSJ004740.75-000019.5|DA/M  |53706|1905| 71|18974| 4214|7.80|0.91| 0.51|0.54|1435| 709| 3|1031| 203|s        |
1SDSSJ004740.75-000019.5|DA/M  |53613|1905| 78| 8875| 1199|7.33|2.03| 0.30|1.09| 735| 600| 3|1023| 201|s        |
0SDSSJ004740.75-000019.5|DA/M  |53613|1905| 78|20566| 9162|6.58|1.53| 0.19|0.51|3285|2161| 3|1023| 201|s        |
1SDSSJ004740.76-000019.5|DA/M  |52199| 691|112|10918| 5136|8.73|1.50| 1.05|0.79| 433| 332| 4| 791| 233|s        |
0SDSSJ004740.76-000019.5|DA/M  |52199| 691|112|15782| 6353|7.75|1.89| 0.48|1.05|1317|1157| 4| 791| 233|s        |
1SDSSJ004804.83+140130.2|DA/M: |51812| 419|  5| 9958|  377|8.19|0.56| 0.72|0.35| 251|  90|-1|   0|   0|         |
0SDSSJ004804.83+140130.2|DA/M: |51812| 419|  5|17707| 1971|7.11|0.45| 0.28|0.12|1043| 306|-1|   0|   0|         |
1SDSSJ004804.83+140130.2|DA/M: |51868| 419| 20| 9619|  319|7.98|0.53| 0.59|0.34| 286|  91|-1|   0|   0|         |
0SDSSJ004804.83+140130.2|DA/M: |51868| 419| 20|17912| 1856|6.95|0.42| 0.25|0.09|1154| 308|-1|   0|   0|         |
1SDSSJ004804.83+140130.2|DA/M: |51879| 419| 12| 9731|  322|8.04|0.64| 0.62|0.40| 261| 100|-1|   0|   0|         |
0SDSSJ004804.83+140130.2|DA/M: |51879| 419| 12|16336| 1777|6.68|0.44| 0.19|0.09|1141| 278|-1|   0|   0|         |
1SDSSJ004815.70+002034.1|DA/M  |52199| 691|582|16910|  998|7.83|0.23| 0.52|0.13| 588|  82| 4| 913| 269|s/e      |
